,Gene.stable.ID,HGNC.symbol
284,ENSG00000251443,LINC02160
288,ENSG00000276180,H4C9
290,ENSG00000228589,SPCS2P4
292,ENSG00000141404,GNAL
293,ENSG00000235759,ARHGAP42P3
295,ENSG00000248279,LINC02120
298,ENSG00000261594,TPBGL
299,ENSG00000170776,AKAP13
300,ENSG00000220212,OR4F1P
301,ENSG00000175707,KDF1
302,ENSG00000188120,DAZ1
303,ENSG00000137707,BTG4
305,ENSG00000099822,HCN2
306,ENSG00000100564,PIGH
307,ENSG00000187678,SPRY4
308,ENSG00000255460,ZDHHC20P3
311,ENSG00000197903,H2BC12
313,ENSG00000137491,SLCO2B1
314,ENSG00000227445,OR10R1P
316,ENSG00000274997,H2AC12
317,ENSG00000172746,RPL12P13
318,ENSG00000109851,DBX1
320,ENSG00000246863,GPR176-DT
321,ENSG00000227592,PIGFP3
322,ENSG00000225294,OSTCP2
323,ENSG00000229982,GTF3AP6
325,ENSG00000262164,KRT39
326,ENSG00000174572,RPL10P2
329,ENSG00000227182,VN1R28P
330,ENSG00000235368,SAPCD2P2
331,ENSG00000251395,FTH1P9
332,ENSG00000253368,TRNP1
333,ENSG00000217929,CICP18
334,ENSG00000217414,DDX18P3
338,ENSG00000124208,TMEM189-UBE2V1
339,ENSG00000251252,MTND2P31
340,ENSG00000237871,HLA-Z
342,ENSG00000248360,LINC00504
346,ENSG00000277708,PGBD4P2
347,ENSG00000239200,RPL22P20
348,ENSG00000197794,IGKV7-3
350,ENSG00000232284,GNG12-AS1
351,ENSG00000225136,PGBD4P5
354,ENSG00000267652,NPM1P1
355,ENSG00000253435,IGKV2-4
356,ENSG00000205822,TPTE2P6
358,ENSG00000169403,PTAFR
359,ENSG00000243466,IGKV1-5
361,ENSG00000213711,PHBP7
363,ENSG00000170290,SLN
364,ENSG00000175344,CHRNA7
366,ENSG00000092199,HNRNPC
367,ENSG00000225546,LINC02476
368,ENSG00000239855,IGKV1-6
369,ENSG00000184677,ZBTB40
371,ENSG00000234383,CTBP2P8
373,ENSG00000054690,PLEKHH1
374,ENSG00000247624,CPEB2-DT
375,ENSG00000243063,IGKV3-7
376,ENSG00000172380,GNG12
377,ENSG00000197808,ZNF461
379,ENSG00000166913,YWHAB
381,ENSG00000099399,MAGEB2
383,ENSG00000128342,LIF
384,ENSG00000113569,NUP155
386,ENSG00000277529,NF1P10
387,ENSG00000244615,PSPC1P2
389,ENSG00000234642,PPP1R2P1
390,ENSG00000240671,IGKV1-8
393,ENSG00000228431,ARL5AP3
397,ENSG00000276840,PMS2P10
398,ENSG00000162595,DIRAS3
401,ENSG00000273762,VN1R76P
402,ENSG00000161847,RAVER1
403,ENSG00000143217,NECTIN4
404,ENSG00000188985,DHFRP1
405,ENSG00000150527,MIA2
407,ENSG00000263438,LINC01919
408,ENSG00000232530,LIF-AS1
409,ENSG00000154611,PSMA8
410,ENSG00000230669,PSMB8
411,ENSG00000165424,ZCCHC24
412,ENSG00000237105,HCP5
413,ENSG00000236688,HLA-N
414,ENSG00000233982,RPL7AP7
416,ENSG00000167390,POM121L3P
417,ENSG00000188157,AGRN
419,ENSG00000233592,MICG
420,ENSG00000236122,UBQLN1P1
421,ENSG00000259021,TPRX1P1
424,ENSG00000230133,LINC01721
428,ENSG00000237034,MICC
429,ENSG00000260433,LINC01917
431,ENSG00000145912,NHP2
432,ENSG00000112679,DUSP22
433,ENSG00000134013,LOXL2
435,ENSG00000235223,TMPOP1
437,ENSG00000237200,ZBTB40-IT1
440,ENSG00000281976,ADAMTS7P1
443,ENSG00000267673,FDX2
444,ENSG00000242945,RPL29P32
446,ENSG00000127366,TAS2R5
447,ENSG00000196715,VKORC1L1
448,ENSG00000158246,TENT5B
449,ENSG00000225975,LINC01534
451,ENSG00000126550,HTN1
452,ENSG00000241926,MTCO1P55
453,ENSG00000187323,DCC
454,ENSG00000110092,CCND1
455,ENSG00000224354,MTND2P5
456,ENSG00000254252,RPL7P20
457,ENSG00000198798,MAGEB3
459,ENSG00000107984,DKK1
460,ENSG00000239648,MTND1P3
463,ENSG00000140983,RHOT2
464,ENSG00000240849,TMEM189
465,ENSG00000171954,CYP4F22
466,ENSG00000226083,SLC39A12-AS1
467,ENSG00000133704,IPO8
468,ENSG00000135040,NAA35
469,ENSG00000148482,SLC39A12
470,ENSG00000106128,GHRHR
471,ENSG00000281610,HSP90AA4P
472,ENSG00000141458,NPC1
473,ENSG00000275600,PIGW
475,ENSG00000172757,CFL1
476,ENSG00000005075,POLR2J
478,ENSG00000281787,FRG1-DT
479,ENSG00000198133,TMEM229B
480,ENSG00000185532,PRKG1
481,ENSG00000076662,ICAM3
482,ENSG00000099260,PALMD
484,ENSG00000242711,PSMB9
485,ENSG00000273954,LINC01194
486,ENSG00000278372,MYO19
487,ENSG00000169418,NPR1
492,ENSG00000128512,DOCK4
495,ENSG00000240677,MYL6P4
496,ENSG00000149716,LTO1
497,ENSG00000254130,LINC01947
498,ENSG00000111276,CDKN1B
499,ENSG00000112796,ENPP5
500,ENSG00000230224,PHBP9
501,ENSG00000229753,RPS27AP15
503,ENSG00000236862,RPS20P24
504,ENSG00000236496,GPS2P1
505,ENSG00000161036,LRWD1
507,ENSG00000095485,CWF19L1
508,ENSG00000165091,TMC1
510,ENSG00000109099,PMP22
511,ENSG00000229184,ATP5PDP2
512,ENSG00000249081,OR5M14P
513,ENSG00000184530,C6orf58
514,ENSG00000233405,LINC01046
515,ENSG00000128203,ASPHD2
517,ENSG00000229349,ACTG1P9
518,ENSG00000282568,TRBV2
520,ENSG00000258650,HSBP1P1
522,ENSG00000149305,HTR3B
523,ENSG00000234993,CUBNP2
525,ENSG00000196860,TOMM20L
528,ENSG00000223656,HMGB3P10
529,ENSG00000144231,POLR2D
531,ENSG00000166831,RBPMS2
533,ENSG00000138592,USP8
534,ENSG00000214195,HMGN2P31
535,ENSG00000172348,RCAN2
537,ENSG00000165886,UBTD1
538,ENSG00000109132,PHOX2B
539,ENSG00000107018,RLN1
540,ENSG00000142319,SLC6A3
541,ENSG00000100575,TIMM9
542,ENSG00000227337,RPL23AP43
543,ENSG00000227816,TAP1
544,ENSG00000145604,SKP2
546,ENSG00000154889,MPPE1
548,ENSG00000220201,ZGLP1
551,ENSG00000223876,RPS27P1
552,ENSG00000165076,PRSS37
553,ENSG00000237408,ART2BP
554,ENSG00000119938,PPP1R3C
555,ENSG00000213778,HNRNPA1P32
556,ENSG00000238048,ART2P
557,ENSG00000263002,ZNF234
563,ENSG00000213449,GAPDHP28
565,ENSG00000227467,LINC01537
570,ENSG00000235420,RPL29P30
572,ENSG00000228759,FAF2P1
575,ENSG00000151033,LYZL2
576,ENSG00000122729,ACO1
577,ENSG00000147408,CSGALNACT1
578,ENSG00000231795,ITCH-IT1
579,ENSG00000172803,SNX32
580,ENSG00000275903,PSMB3
581,ENSG00000125971,DYNLRB1
583,ENSG00000090020,SLC9A1
585,ENSG00000141452,RMC1
588,ENSG00000213659,RSU1P3
591,ENSG00000214646,COMMD4P1
593,ENSG00000236671,PRKG1-AS1
595,ENSG00000254475,OR2AT1P
596,ENSG00000068976,PYGM
598,ENSG00000146233,CYP39A1
601,ENSG00000258900,HNRNPCP1
603,ENSG00000204364,C2
605,ENSG00000237369,UBDP1
606,ENSG00000167460,TPM4
607,ENSG00000227835,CARM1P1
608,ENSG00000237544,MAS1LP1
609,ENSG00000119541,VPS4B
610,ENSG00000243920,RPS26P24
611,ENSG00000163075,CFAP221
614,ENSG00000120289,MAGEB4
618,ENSG00000163154,TNFAIP8L2
619,ENSG00000177613,CSTF2T
621,ENSG00000160953,PWWP3A
622,ENSG00000149262,INTS4
624,ENSG00000227277,RNF5
625,ENSG00000100578,KIAA0586
626,ENSG00000163156,SCNM1
627,ENSG00000237284,MAS1L
628,ENSG00000234933,CDC42P1
629,ENSG00000231000,RPS17P1
631,ENSG00000236388,ITCH-AS1
632,ENSG00000253626,EIF5AL1
634,ENSG00000249745,HMGB1P28
635,ENSG00000181741,FDX1P1
636,ENSG00000262635,TDO2
637,ENSG00000225432,LINC02829
638,ENSG00000214107,MAGEB1
639,ENSG00000281248,LINC02536
642,ENSG00000240031,OR9A3P
643,ENSG00000232965,RPS12P18
644,ENSG00000229383,LINC01015
645,ENSG00000234069,GAPDHP53
